uid,api,postId,is_relevant,sentiment_label,sentence,association,resolutions,lexicons
8817391=>9188731=>a=>JAVA3,xstream,comment_1_25132841,1,n,"FYI, I had the exact same problem and this solution worked for me.",,,
8817391=>9188731=>a=>JAVA3,xstream,comment_2_25133027,1,o,"edit: One more update, for Xstream 1.2.2 I had to do this: xstream.addImplicitCollection(SimplePerson.class, ""cars"", String.class);.",,xstream=>xstream,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_1_22661956,0,o,OK.,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_1_22661956,0,o,Here is what I want to do.,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_1_22661956,0,o,I need to send the following as http request.,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_1_22661956,1,p,"""address"": { ""address1"": ""9100 hopkins bulvard hopkins bulvard bulvard"", ""address2"": ""6700 hopkins bulvard hopkins bulvard bulvard"", ""city"": ""HOPKINS"", ""county"": ""Scott"", ""postalCode"": ""55379"", ""state"": ""VA"" } How do I accomplish this using JSONArray and JSONObject?",,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_2_22661982,0,o,Have you read anything about these technologies or checked the documentation?,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_3_22662148,0,o,Are you referring to a post or a put ?,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_3_22662148,0,o,Http request is quite broad.,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_4_22662169,0,o,Is it just me or you're never adding anything to your jsonAddressArray ?,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_5_22662206,1,p,I do not want to send harcoded values to any of the fields.,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_5_22662206,0,o,I want the address to be fetched from the EditText.,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_5_22662206,0,o,That is the reason i used txtAddress1.getText().toString().,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_6_22662220,0,o,it is a put method.,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_7_22662231,0,o,Yeh your right...it's from the original code.,,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_8_22663796,0,o,"You should point that you have moved the JSONObject jsonAddressObj 
new JSONObject(); in the loop to create a new adress each time, because I don't think he will notice that.",,,
15911250=>15911410=>a=>JAVA3,net.sf.json,comment_8_22663796,0,o,"And mention that you're usign a different library, because he will ask why he can't have access to jsonAddressArray.add(jsonAddressObj);.",,,
